time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,-0.0460157568683,-0.0390588749418,11.9891797046,6.24628261969,0.0605760795401,0.0,-0.196025097212,-0.182456165521,3.15361300134,-0.0558903792277,0.122988746504,0.0,422.9549403031158,424.24907417388977,426.0523895430062,424.7246295620751
1.3800000000000008,-0.0592546418044,-0.0509000033303,12.18454256,6.24297468459,0.0679628848136,0.0,-0.246101727395,-0.212615111371,3.35782403917,-0.0536581082069,0.123361365797,0.0,478.78640433629977,478.8272957399374,478.0988424907528,478.2670836384207
1.4400000000000008,-0.0750860257432,-0.0642829815015,12.3836808414,6.23971902858,0.0753433118695,0.0,-0.282186438737,-0.233736927564,3.28028354917,-0.0554941888575,0.122289774994,0.0,388.05026312083953,387.9657742800122,390.0897900396481,389.9158771850167
1.5000000000000009,-0.0938489372128,-0.0793575426405,12.586650587,6.23665061534,0.0822889700607,0.0,-0.344041763596,-0.26909293974,3.48467296757,-0.043611748446,0.0976654842555,0.0,480.10274746307226,478.24138044080235,479.6021231231771,480.5022872175664
1.560000000000001,-0.116221566632,-0.0964760473554,12.7987527348,6.23453742512,0.0878778670597,0.0,-0.402272335662,-0.301744256353,3.58500723876,-0.0222441122986,0.0821032760968,0.0,450.8718417642977,449.619851550115,448.17232778846716,449.90515136830027
1.620000000000001,-0.142020236141,-0.115493815187,13.0148425932,6.2327639137,0.0926756456477,0.0,-0.458121826057,-0.332311088042,3.61781509089,-0.0511433233328,0.075299423979,0.0,429.5540196982184,428.98199527423156,429.765040424702,427.30790396488567
1.680000000000001,-0.171941972302,-0.136755677461,13.2401705169,6.2299735059,0.0968137736963,0.0,-0.53974371993,-0.376741221623,3.89211615802,-0.0385566129671,0.0516576377467,0.0,503.4635360239483,501.75290453975043,501.1946508548659,502.10759267222113
1.740000000000001,-0.206480135084,-0.160542311571,13.4780392796,6.22789376899,0.0999072240287,0.0,-0.611815729753,-0.416355038595,4.03626355674,-0.0278333895905,0.0513565588474,0.0,467.31176299960583,467.289857141473,464.91858682871134,465.7575835745965
1.8000000000000012,-0.245568288994,-0.186835726161,13.7261017355,6.22608010777,0.102612233844,0.0,-0.691393187018,-0.460252308324,4.23169386292,-0.0355059743199,0.0279931299961,0.0,483.8324188125545,482.07105045039214,482.7239585043644,482.1443678931528
1.8600000000000012,-0.288894983053,-0.215476899111,13.9801335722,6.22375016688,0.104009027792,0.0,-0.752967791608,-0.494646882249,4.23595736381,-0.0464882988689,0.0116208879196,0.0,425.65681254131755,424.25332549971813,425.607059926625,424.66511331687605
